Lines;start_station;destination;;;;;;;
10;Wujiaochang;Jiangwan Stadium;;;;;;;
10;Jiangwan Stadium;Sanmen Road;;;;;;;
10;Sanmen Road;East Yingao Road;;;;;;;
10;East Yingao Road;Xinjiangwancheng;;;;;;;
10;Xinjiangwancheng;Guofan Road;;;;;;;
10;Guofan Road;Shuangjiang Road;;;;;;;
10;Shuangjiang Road;West Gaoqiao;;;;;;;
10;West Gaoqiao;Gaoqiao;;;;;;;
10;Gaoqiao;Gangcheng Road;;;;;;;
10;Gangcheng Road;Jilong Road;;;;;;;
11;Disney Resort;Kangxin Highway;;;;;;;
11;Kangxin Highway;Xiuyan Road;;;;;;;
11;Xiuyan Road;Luoshan Road;;;;;;;
11;Luoshan Road;Yuqiao;;;;;;;
11;Yuqiao;Pusan Road;;;;;;;
11;Pusan Road;East Sanlin;;;;;;;
11;East Sanlin;Sanlin;;;;;;;
11;Sanlin;Oriental Sports Center;;;;;;;
11;Oriental Sports Center;Longyao Road;;;;;;;
11;Longyao Road;Yunjin Road;;;;;;;
11;Yunjin Road;Longhua;;;;;;;
11;Longhua;Shanghai Swimming Center;;;;;;;
11;Shanghai Swimming Center;Xujiahui;;;;;;;
11;Xujiahui;Jiaotong University;;;;;;;
11;Jiaotong University;Jiangsu Road;;;;;;;
11;Jiangsu Road;Longde Road;;;;;;;
11;Longde Road;Caoyang Road;;;;;;;
11;Caoyang Road;Fengqiao Road;;;;;;;
11;Fengqiao Road;Zhenru;;;;;;;
11;Zhenru;Shanghai West Railway Station;;;;;;;
11;Shanghai West Railway Station;Liziyuan;;;;;;;
11;Liziyuan;Qilianshan Road;;;;;;;
11;Qilianshan Road;Wuwei Road;;;;;;;
11;Wuwei Road;Taopu Xincun;;;;;;;
11;Taopu Xincun;Nanxiang;;;;;;;
11;Nanxiang;Chenxiang Highway;;;;;;;
11;Chenxiang Highway;Malu;;;;;;;
11;Malu;Jiading Xincheng;;;;;;;
11;Jiading Xincheng;Baiyin Road;;;;;;;
11;Baiyin Road;West Jiading;;;;;;;
11;West Jiading;North Jiading;;;;;;;
11;Jiading Xincheng;Shanghai Circus ;;;;;;;
11;Shanghai Circus ;East Changji Road;;;;;;;
11;East Changji Road;Shanghai Automobile City;;;;;;;
11;Shanghai Automobile City;Anting;;;;;;;
11;Anting;Zhaofeng Road;;;;;;;
11;Zhaofeng Road;Guangming Road;;;;;;;
11;Guangming Road;Huaqiao;;;;;;;
12;Jinhai Road;Shenjiang Road;;;;;;;
12;Shenjiang Road;Jinjing Road;;;;;;;
12;Jinjing Road;North Yanggao Road;;;;;;;
12;North Yanggao Road;Jufeng Road;;;;;;;
12;Jufeng Road;Donglu Road;;;;;;;
12;Donglu Road;Fuxing Island;;;;;;;
12;Fuxing Island;Aiguo Road;;;;;;;
12;Aiguo Road;Longchang Road;;;;;;;
12;Longchang Road;Ningguo Road;;;;;;;
12;Ningguo Road;Jiangpu Park;;;;;;;
12;Jiangpu Park;Dalian Road;;;;;;;
12;Dalian Road;Tilanqiao;;;;;;;
12;Tilanqiao;International Cruise Terminal;;;;;;;
12;International Cruise Terminal;Tiantong Road;;;;;;;
12;Tiantong Road;Qufu Road;;;;;;;
12;Qufu Road;Hanzhong Road;;;;;;;
12;Hanzhong Road;West Nanjing Road;;;;;;;
12;West Nanjing Road;South Shaanxi Road;;;;;;;
12;South Shaanxi Road;Jiashan Road;;;;;;;
12;Jiashan Road;Damuqiao Road;;;;;;;
12;Damuqiao Road;Middle Longhua Road;;;;;;;
12;Middle Longhua Road;Longhua;;;;;;;
12;Longhua;Longcao Road;;;;;;;
12;Longcao Road;Caobao Road;;;;;;;
12;Caobao Road;Guilin Park;;;;;;;
12;Guilin Park;Hongcao Road;;;;;;;
12;Hongcao Road;Hongmei Road;;;;;;;
12;Hongmei Road;Donglan Road;;;;;;;
12;Donglan Road;Gudai Road;;;;;;;
12;Gudai Road;Hongxin Road;;;;;;;
12;Hongxin Road;Qixin Road;;;;;;;
13;Jinyun Road;West Jinshajiang Road;;;;;;;
13;West Jinshajiang Road;Fengzhuang;;;;;;;
13;Fengzhuang;South Qilianshan Road;;;;;;;
13;South Qilianshan Road;Zhenbei Road;;;;;;;
13;Zhenbei Road;Daduhe Road;;;;;;;
13;Daduhe Road;Jinshajiang Road;;;;;;;
13;Jinshajiang Road;Longde Road;;;;;;;
13;Longde Road;Wuning Road;;;;;;;
13;Wuning Road;Changshou Road;;;;;;;
13;Changshou Road;Jiangning Road;;;;;;;
13;Jiangning Road;Hanzhong Road;;;;;;;
13;Hanzhong Road;Shanghai Natural History Museum;;;;;;;
13;Shanghai Natural History Museum;West Nanjing Road;;;;;;;
13;West Nanjing Road;Middle Huaihai Road;;;;;;;
13;Middle Huaihai Road;Site of the First CPC National Congress á Xintiandi;;;;;;;
13;Site of the First CPC National Congress á Xintiandi;Madang Road;;;;;;;
13;Madang Road;World Expo Museum;;;;;;;
13;World Expo Museum;Shibo Avenue;;;;;;;
13;Shibo Avenue;Changqing Road;;;;;;;
13;Changqing Road;Chengshan Road;;;;;;;
13;Chengshan Road;Dongming Road;;;;;;;
13;Dongming Road;Huapeng Road;;;;;;;
13;Huapeng Road;Xianan Road;;;;;;;
13;Xianan Road;Beicai;;;;;;;
13;Beicai;Chenchun Road;;;;;;;
13;Chenchun Road;Lianxi Road;;;;;;;
13;Lianxi Road;Middle Huaxia Road;;;;;;;
13;Middle Huaxia Road;Zhongke Road;;;;;;;
13;Zhongke Road;Xuelin Road;;;;;;;
13;Xuelin Road;Zhangjiang Road;;;;;;;
14;Fengbang;Lexiu Road;;;;;;;
